央视,#genre# 
CCTV-1综合,rtsp://183.59.207.242:554/PLTV/88888895/224/3221227462/10000100000000060000000003893556_0.smil?icpid=88888888#rtsp://183.59.207.242:554/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil??icpid=88888888
CCTV-2财经,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil?icpid=88888888
CCTV-3综艺,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229838/10000100000000060000000009924454_0.smil?icpid=88888888
CCTV-4中文国际,rtsp://183.59.207.242:554/PLTV/88888895/224/3221227759/10000100000000060000000004960976_0.smil?icpid=88888888
CCTV-5体育,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229857/10000100000000060000000009924447_0.smil?icpid=88888888
CCTV-6电影,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229898/10000100000000060000000009924445_0.smil?icpid=88888888
CCTV-7军事农业,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227620/10000100000000060000000004662504_0.smil?icpid=88888888
CCTV-8电视剧,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229900/10000100000000060000000009924385_0.smil?icpid=88888888
CCTV-9纪实,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227617/10000100000000060000000004662501_0.smil?icpid=88888888
CCTV-10科教,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227631/10000100000000060000000004662500_0.smil?icpid=88888888
CCTV-11戏曲,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229858/10000100000000060000000010595398_0.smil?icpid=88888888
CCTV-12社会,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227576/10000100000000060000000004662502_0.smil?icpid=88888888
CCTV-13新闻,rtsp://183.59.207.242:554//PLTV/88888895/224/3221226783/00000100000000060000000000339414_0.smil?icpid=88888888
CCTV-14少儿,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227573/10000100000000060000000004662499_0.smil?icpid=88888888
CCTV-15音乐,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229902/10000100000000060000000010595397_0.smil?icpid=88888888
CCTV-17农业农村,rtsp://183.59.207.242:554/PLTV/88888905/224/3221229870/10000100000000060000000010232873_0.smil?icpid=88888888
CCTV5+体育赛事,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil?icpid=88888888
CHC高清电影,rtsp://183.59.207.242:554/PLTV/88888905/224/3221230008/10000100000000060000000010481261_0.smil?icpid=88888888#http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
CHC动作电影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
CHC高清电影,P2p://51.79.41.138:18912/5b140953000b29ef92c9e62581b4879a.ts
CHC家庭影院,P2p://51.79.41.138:18912/5b14092b0004ba23d088371565df70dc.ts
CHC动作电影,P2p://51.79.41.138:18912/5b14092b0002d180e0b117a1d598a9b5.ts
CCTV第一剧场,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228292/10000100000000060000000007781466_0.smil?icpid=88888888
CCTV世界地理,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228270/10000100000000060000000007781464_0.smil?icpid=88888888
CCTV风云足球,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228348/10000100000000060000000007969164_0.smil?icpid=88888888
CCTV风云音乐,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228273/10000100000000060000000007935449_0.smil?icpid=88888888
CCTV风云剧场,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228276/10000100000000060000000007935448_0.smil?icpid=88888888
CCTV怀旧剧场,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228279/10000100000000060000000007781472_0.smil?icpid=88888888
CCTV高尔夫网球,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228351/10000100000000060000000007970949_0.smil?icpid=88888888
CCTV央视精品,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228282/10000100000000060000000007781471_0.smil?icpid=88888888
CCTV国防军事,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228285/10000100000000060000000007781470_0.smil?icpid=88888888
CCTV老故事,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228321/10000100000000060000000007935393_0.smil?icpid=88888888
CCTV中学生,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228327/10000100000000060000000007935405_0.smil?icpid=88888888
CCTV女性时尚,rtsp://183.59.207.242:554/PLTV/88888905/224/3221228315/10000100000000060000000007935395_0.smil?icpid=88888888

CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?I
CCTV-2财经,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?I
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?I
CCTV-4中文国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?I
CCTV-5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?I
CCTV5+体育赛事,http://39.135.34.150:8080/000000001000/1000000001000020505/1.m3u8?I
CCTV-6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?I
CCTV-7军事农业,http://39.135.34.150:8080/000000001000/7050628689018054317/1.m3u8?I
CCTV-8电视剧,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?I
CCTV-9纪实,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?I
CCTV-10科教,http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?I
CCTV-11戏曲,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?I
CCTV-12社会,http://39.135.34.150:8080/000000001000/5325631075193490169/1.m3u8?I
CCTV-13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV-14少儿,http://39.135.34.150:8080/000000001000/8203666801302077036/1.m3u8?I
CCTV-15音乐,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?I
CCTV-17农业农村,http://39.135.34.140:8080/000000001000/1000000005000056836/1.m3u8?I
CGTV,http://39.135.34.150:8080/000000001000/8428799834696888424/1.m3u8?I

卫视,#genre# 
湖南卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227325/10000100000000060000000001141345_0.smil?icpid=88888888
浙江卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227296/10000100000000060000000001141335_0.smil?icpid=88888888
江苏卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227027/10000100000000060000000000698853_0.smil?icpid=88888888
北京卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227018/10000100000000060000000000698843_0.smil?icpid=88888888
深圳卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227267/10000100000000060000000001141334_0.smil?icpid=88888888
广东卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227218/10000100000000060000000000988525_0.smil?icpid=88888888
黑龙江卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227302/10000100000000060000000001141347_0.smil?icpid=88888888
湖北卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227322/10000100000000060000000001141333_0.smil?icpid=88888888
天津卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227346/10000100000000060000000003100521_0.smil?icpid=88888888
山东卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227215/10000100000000060000000000988473_0.smil?icpid=88888888
东方卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227299/10000100000000060000000001141344_0.smil?icpid=88888888
辽宁卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227608/10000100000000060000000004547240_0.smil?icpid=88888888
四川卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227882/10000100000000060000000006078789_0.smil?icpid=88888888
重庆卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227897/10000100000000060000000006388228_0.smil?icpid=88888888
安徽卫视,rtsp://183.59.207.242:554/PLTV/88888905/224/3221227928/10000100000000060000000006526299_0.smil?icpid=88888888
